Date,City,Weather Condition,Temperature,Wind Force and Direction
2011-01-01,beijing,晴/晴,0℃/-9℃,无持续风向≤3级/无持续风向≤3级
2011-01-02,beijing,多云/阴,-2℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011-01-03,beijing,晴/晴,1℃/-8℃,北风3-4级/无持续风向≤3级
2011-01-04,beijing,晴/晴,-1℃/-11℃,无持续风向≤3级/无持续风向≤3级
2011-01-05,beijing,晴/晴,-1℃/-8℃,北风4-5级/北风3-4级
2011-01-06,beijing,晴/晴,0℃/-10℃,无持续风向≤3级/无持续风向≤3级
2011-01-07,beijing,晴/多云,1℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011-01-08,beijing,多云/晴,1℃/-8℃,北风4-5级/北风4-5级
2011-01-09,beijing,晴/晴,-1℃/-10℃,北风3-4级/无持续风向≤3级
2011-01-10,beijing,晴/多云,-1℃/-7℃,无持续风向≤3级/北风3-4级
2011-01-11,beijing,晴/晴,-1℃/-11℃,北风3-4级/无持续风向≤3级
2011-01-12,beijing,多云/多云,0℃/-8℃,无持续风向≤3级/无持续风向≤3级
2011-01-13,beijing,晴/晴,1℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011-01-14,beijing,晴/晴,-1℃/-10℃,北风4-5级/北风3-4级
2011-01-15,beijing,晴/阴,3℃/-4℃,无持续风向≤3级/无持续风向≤3级
2011-01-16,beijing,晴/晴,-1℃/-9℃,无持续风向≤3级/无持续风向≤3级
2011-01-17,beijing,晴/晴,-1℃/-9℃,北风3-4级/无持续风向≤3级
2011-01-18,beijing,晴/晴,-1℃/-10℃,无持续风向≤3级/无持续风向≤3级
2011-01-19,beijing,晴/晴,0℃/-9℃,无持续风向≤3级/无持续风向≤3级
2011-01-20,beijing,晴/多云,0℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011-01-21,beijing,晴/多云,1℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011-01-22,beijing,多云/多云,0℃/-9℃,无持续风向≤3级/北风3-4级
2011-01-23,beijing,晴/晴,-1℃/-10℃,北风3-4级/无持续风向≤3级
2011-01-24,beijing,晴/多云,0℃/-9℃,无持续风向≤3级/无持续风向≤3级
2011-01-25,beijing,晴/晴,0℃/-10℃,无持续风向≤3级/无持续风向≤3级
2011-01-26,beijing,晴/多云,0℃/-8℃,无持续风向≤3级/无持续风向≤3级
2011-01-27,beijing,晴/晴,2℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011-01-28,beijing,晴/晴,4℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011-01-29,beijing,晴/晴,-1℃/-10℃,无持续风向≤3级/无持续风向≤3级
2011-01-30,beijing,晴/晴,3℃/-7℃,无持续风向≤3级/无持续风向≤3级
2011-01-31,beijing,多云/雾,4℃/-2℃,无持续风向≤3级/无持续风向≤3级
2011-02-01,beijing,晴/晴,4℃/-8℃,北风3-4级/无持续风向≤3级
2011-02-02,beijing,晴/多云,9℃/-4℃,北风4-5级/北风4-5级
2011-02-03,beijing,小雪/雾,0℃/-5℃,无持续风向≤3级/北风3-4级
2011-02-04,beijing,晴/小雪,2℃/-7℃,北风3-4级/无持续风向≤3级
2011-02-05,beijing,晴/阴,1℃/-5℃,无持续风向≤3级/无持续风向≤3级
2011-02-06,beijing,多云/阴,9℃/-1℃,无持续风向≤3级/北风3-4级
2011-02-07,beijing,晴/晴,8℃/-4℃,无持续风向≤3级/无持续风向≤3级
2011-02-08,beijing,晴/多云,-2℃/-9℃,无持续风向≤3级/无持续风向≤3级
2011-02-09,beijing,多云/多云,0℃/-6℃,无持续风向≤3级/无持续风向≤3级
2011-02-10,beijing,晴/晴,0℃/-10℃,无持续风向≤3级/无持续风向≤3级
2011-02-11,beijing,晴/晴,1℃/-10℃,北风3-4级/无持续风向≤3级
2011-02-12,beijing,阴/小雪,-3℃/-6℃,无持续风向≤3级/无持续风向≤3级
2011-02-13,beijing,晴/晴,10℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011-02-14,beijing,晴/晴,1℃/-7℃,北风4-5级/无持续风向≤3级
2011-02-15,beijing,晴/多云,4℃/-6℃,无持续风向≤3级/无持续风向≤3级
2011-02-16,beijing,霾/多云,5℃/-4℃,无持续风向≤3级/无持续风向≤3级
