Date,City,Weather Condition,Temperature,Wind Force and Direction,Day Weather,Night Weather,Day Temp,Night Temp,Day Wind Direction,Night Wind Direction,Day Wind Force,Night Wind Force
2011-01-01,beijing,晴/晴,0℃/-9℃,无持续风向≤3级/无持续风向≤3级,晴,晴,0.0,-9.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-02,beijing,多云/阴,-2℃/-7℃,无持续风向≤3级/无持续风向≤3级,多云,阴,-2.0,-7.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-03,beijing,晴/晴,1℃/-8℃,北风3-4级/无持续风向≤3级,晴,晴,1.0,-8.0,北风,无持续风向,3-4级,≤3级
2011-01-04,beijing,晴/晴,-1℃/-11℃,无持续风向≤3级/无持续风向≤3级,晴,晴,-1.0,-11.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-05,beijing,晴/晴,-1℃/-8℃,北风4-5级/北风3-4级,晴,晴,-1.0,-8.0,北风,北风,4-5级,3-4级
2011-01-06,beijing,晴/晴,0℃/-10℃,无持续风向≤3级/无持续风向≤3级,晴,晴,0.0,-10.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-07,beijing,晴/多云,1℃/-7℃,无持续风向≤3级/无持续风向≤3级,晴,多云,1.0,-7.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-08,beijing,多云/晴,1℃/-8℃,北风4-5级/北风4-5级,多云,晴,1.0,-8.0,北风,北风,4-5级,4-5级
2011-01-09,beijing,晴/晴,-1℃/-10℃,北风3-4级/无持续风向≤3级,晴,晴,-1.0,-10.0,北风,无持续风向,3-4级,≤3级
2011-01-10,beijing,晴/多云,-1℃/-7℃,无持续风向≤3级/北风3-4级,晴,多云,-1.0,-7.0,无持续风向,北风,≤3级,3-4级
2011-01-11,beijing,晴/晴,-1℃/-11℃,北风3-4级/无持续风向≤3级,晴,晴,-1.0,-11.0,北风,无持续风向,3-4级,≤3级
2011-01-12,beijing,多云/多云,0℃/-8℃,无持续风向≤3级/无持续风向≤3级,多云,多云,0.0,-8.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-13,beijing,晴/晴,1℃/-7℃,无持续风向≤3级/无持续风向≤3级,晴,晴,1.0,-7.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-14,beijing,晴/晴,-1℃/-10℃,北风4-5级/北风3-4级,晴,晴,-1.0,-10.0,北风,北风,4-5级,3-4级
2011-01-15,beijing,晴/阴,3℃/-4℃,无持续风向≤3级/无持续风向≤3级,晴,阴,3.0,-4.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-16,beijing,晴/晴,-1℃/-9℃,无持续风向≤3级/无持续风向≤3级,晴,晴,-1.0,-9.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-17,beijing,晴/晴,-1℃/-9℃,北风3-4级/无持续风向≤3级,晴,晴,-1.0,-9.0,北风,无持续风向,3-4级,≤3级
2011-01-18,beijing,晴/晴,-1℃/-10℃,无持续风向≤3级/无持续风向≤3级,晴,晴,-1.0,-10.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-19,beijing,晴/晴,0℃/-9℃,无持续风向≤3级/无持续风向≤3级,晴,晴,0.0,-9.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-20,beijing,晴/多云,0℃/-7℃,无持续风向≤3级/无持续风向≤3级,晴,多云,0.0,-7.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-21,beijing,晴/多云,1℃/-7℃,无持续风向≤3级/无持续风向≤3级,晴,多云,1.0,-7.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-22,beijing,多云/多云,0℃/-9℃,无持续风向≤3级/北风3-4级,多云,多云,0.0,-9.0,无持续风向,北风,≤3级,3-4级
2011-01-23,beijing,晴/晴,-1℃/-10℃,北风3-4级/无持续风向≤3级,晴,晴,-1.0,-10.0,北风,无持续风向,3-4级,≤3级
2011-01-24,beijing,晴/多云,0℃/-9℃,无持续风向≤3级/无持续风向≤3级,晴,多云,0.0,-9.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-25,beijing,晴/晴,0℃/-10℃,无持续风向≤3级/无持续风向≤3级,晴,晴,0.0,-10.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-26,beijing,晴/多云,0℃/-8℃,无持续风向≤3级/无持续风向≤3级,晴,多云,0.0,-8.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-27,beijing,晴/晴,2℃/-7℃,无持续风向≤3级/无持续风向≤3级,晴,晴,2.0,-7.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-28,beijing,晴/晴,4℃/-7℃,无持续风向≤3级/无持续风向≤3级,晴,晴,4.0,-7.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-29,beijing,晴/晴,-1℃/-10℃,无持续风向≤3级/无持续风向≤3级,晴,晴,-1.0,-10.0,无持续风向,无持续风向,≤3级,≤3级
2011-01-30,beijing,晴/晴,3℃/-7℃,无持续风向≤3级/无持续风向≤3级,晴,晴,3.0,-7.0,无持续风向,无持续风向,≤3级,≤3级
